lemma	text	predict_sense	gold_sense
среда	Жена президента США Дональда Трампа Мелания Трамп появилась на публике в среду, 12 декабря, с новым цветом волос, который рассмешил зрителей.	2	2
среда	Инцидент произошел в одной из деревень муниципалитета Богор, провинция Западная Ява, в среду, 12 декабря.	2	2
среда	В среду, 12 декабря, полиция подтвердила, что останки принадлежат отцу мужчины.	2	2
среда	Взрыв произошел в среду, 12 декабря, около 18:00 в торговом центре на улице Картоева в Назрани.	2	2
среда	Видео задержания в среду, 13 декабря, опубликовано на YouTube-канале СК.	2	2
среда	Чайка уверен, что причины тревожной ситуации в молодежной среде во многом обусловлены недоработкой всех уполномоченных органов.	4	4
среда	По словам эксперта, в такой активно развивающейся среде, как учебная литература, не должно существовать критериев, согласно которым ФПУ сокращается на треть после каждой проверки.	4	4
среда	По словам исследователей, Китай был близок к тому, чтобы начать зарабатывать на благоприятной окружающей среде, однако в 2016 году власти свернули программу солнечной электроэнергетики из-за сбоев в сети.	4	3
среда	Люди с ограниченными возможностями также часто жалуются на волокиту, из-за которой они вовремя не получают необходимую для реабилитации или адаптации технику, денежные компенсации, а также на декларируемую, но фактически отсутствующую «доступную среду».	4	4
среда	В свою очередь заместитель технического директора по охране окружающей среды компании Сибирской генерирующей компании Константин Кушнир, рассказал, что у компании есть внутренняя мотивация к тому, чтобы «стать еще лучше и чище», благодаря которой компания реализует комплексную программу технического перевооружения генерирующих объектов и других мероприятий, которая должна позволить дать на экологический вызов опережающий ответ.	4	3
деталь	Прокуратура просит разрешение транспортировать Бутину из тюрьмы для дачи показаний по вероятному уголовному расследованию, детали которого не уточняются.	3	3
деталь	Родители ребенка считают, что металлические детали в скейтборде отчасти приняли разряд на себя и заземлили его.	1	1
деталь	И вообще, если откровенно говорить, ты что, хочешь, чтобы я купил автомат для того, чтобы тебя защищать?» — вспомнил он детали разговора.	3	3
деталь	Раскрыты новые детали постера к фильму».	3	3
деталь	Мадуро пообещал в ближайшие дни созвать пресс-конференцию, на которой расскажет больше деталей о планах США.	3	3
деталь	Он также отметил, что Трамп не любит читать, в том числе подготовленные для него брифинги, и не стремится вникать в детали.	3	3
деталь	Клиентам магазина предлагается услуга персонализации покупок методом горячего тиснения на мелких кожаных изделиях, багажных бирках и кожаных деталях сумок.	1	1
деталь	В качестве примера глава белорусского государства привел производство тракторов, которые на 60-70 процентов состоят из российских деталей.	1	1
деталь	В 1885 году ею созданы первые часы с деталями из материалов, способных противостоять магнитным полям, — палладия, бронзы и золота.	1	1
деталь	Сквозь отверстия можно наблюдать за работой механизма калибра 1869, черненые детали которого выполнены методом лазерной обработки.	1	1
мелочь	В московском магазине покупатель расплатился за новый iPhone мелочью, принесенной в ванне.	2	2
мелочь	«В понедельник вечером в наш магазин пришли два человека, которые несли ванну, наполненную мелочью.	2	2
мелочь	Прямо там можно было разменять бумажные деньги мелочью.	2	2
мелочь	На картинке изображен барсук в окружении конфет и прочих цветных мелочей, среди которых спрятана палочка.	2	2
мелочь	Мужчина просил у нее мелочь, но денег у нее с собой не оказалось.	4	2
мелочь	На общем фоне все это мелочи.	4	4
мелочь	«Вроде мелочь такая, заасфальтировали, стало ровненько, можно проехать, кататься... А у меня голос дрожит.	2	4
мелочь	Оказалось, что некоторые мужчины принципиально не платят за женщин даже в мелочах, так как были приучены к этому родителями.	4	4
мелочь	Осталась мелочь — сделать в Киеве стабильный 3G, потому что он все еще глючит», — пишет Василий Оболонский.	4	4
блюдо	Среднюю стоимость новогодних блюд по стране компания оценила в 295 рублей.	4	4
блюдо	Ранее в приложение уже была внедрена возможность приобретения полетной страховки, а также заказа дополнительных блюд из платного меню.	4	4
блюдо	Как сообщает издание The Mirror, отравление блюдом спровоцировало развитие редкого аутоиммунного заболевания.	4	4
блюдо	По словам эксперта, калорийность праздничного рациона за последние несколько лет изменилась незначительно, однако состав блюд стал другим.	4	4
блюдо	В январе сообщалось, что в Канаде доставщика пиццы из ресторана Domino's поймали на поедании начинки с блюда клиента.	4	4
блюдо	На запечатлевшем сцену видеоролике видно, как Нусрет ловко сыпет специи на блюдо фирменным жестом, а затем насаживает кусок мяса на нож и дает его Кадырову.	1	4
блюдо	Блюдо с бело-синей росписью приобрели в 1920-е годы на сельской распродаже.	1	1
блюдо	На завтрак он съедал миску хлопьев с семью ложками сахара, обедал традиционным британским блюдом фиш-энд-чипс, а ужинал тремя биг-маками и клубничным коктейлем.	1	4
блюдо	В России принято заказывать порционные блюда и ходить с плотно застегнутой одеждой, сказано в брошюре.	1	4
блюдо	После этого он старательно упаковывает еду обратно и идет вручать блюда клиенту.	1	4
